"CaseID","Age","Sex","BFI1","BFI2","BFI3","BFI4","BFI5","BFI6","BFI7","BFI8","BFI9","BFI10","BFI11","BFI12","BFI13","BFI14","BFI15","BFI16","BFI17","BFI18","BFI19","BFI20","BFI21","BFI22","BFI23","BFI24","BFI25","BFI26","BFI27","BFI28","BFI29","BFI30","BFI31","BFI32","BFI33","BFI34","BFI35","BFI36","BFI37","BFI38","BFI39","BFI40","BFI41","BFI42","BFI43","BFI44","BFI45","BFI46","BFI47","BFI48","BFI49","BFI50","BFI51","BFI52","BFI53","BFI54","BFI55","BFI56","BFI57","BFI58","BFI59","BFI60"
"Survey1Emerging000011",20,1,4,3,1,4,1,4,5,2,5,4,1,4,5,2,4,4,1,4,4,5,4,2,2,4,1,1,4,2,4,2,5,4,5,2,5,4,4,5,2,4,4,1,4,5,1,3,4,1,2,1,2,4,4,1,1,4,5,4,2,2
"Survey1Emerging000012",23,1,4,4,1,2,4,5,5,1,4,4,2,2,5,4,4,5,1,5,4,3,5,2,1,4,1,2,2,1,3,4,4,4,4,5,4,1,2,5,3,5,2,4,4,2,1,2,4,2,4,1,2,5,5,3,3,2,4,1,4,2
"Survey1Emerging000013",21,1,1,5,4,2,3,3,3,4,2,5,4,2,3,4,3,3,3,3,4,4,3,4,4,2,2,4,2,4,1,2,5,4,2,4,4,3,2,2,5,4,2,4,4,2,2,2,2,5,2,1,4,3,4,4,3,2,2,3,5,4
"Survey1Emerging000014",24,-1,3,2,3,3,4,5,4,2,4,3,4,3,4,4,4,3,4,4,3,3,4,2,3,2,3,3,5,2,4,4,4,4,4,2,5,4,4,2,3,2,2,3,5,4,2,2,3,2,4,4,2,3,5,2,3,4,3,2,3,3
"Survey1Emerging000015",20,1,5,4,3,3,2,3,3,5,2,4,2,5,2,4,5,1,1,4,4,4,5,2,4,2,3,3,4,4,3,1,2,1,3,4,5,2,4,4,4,4,4,2,2,3,4,5,1,1,4,2,3,4,3,4,2,5,5,3,2,4
"Survey1Emerging000016",19,-1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,1,5,4,5,5,5,4,5,5,1,1,5,1,5,5,5,5,5,5,5,1,5,4
"Survey1Emerging000017",20,1,3,4,5,4,5,5,4,4,5,4,5,5,3,4,5,2,4,4,5,4,2,5,5,4,3,3,4,4,3,4,5,4,5,5,4,4,4,4,4,5,5,3,4,4,3,4,4,3,4,5,5,5,4,4,5,4,4,5,5,4
"Survey1Emerging000018",21,1,4,5,1,3,3,3,5,1,4,3,1,1,5,1,4,3,4,5,3,4,3,1,2,5,3,1,4,1,4,4,3,5,5,1,5,3,1,5,2,4,4,3,5,5,2,3,1,1,5,3,3,5,5,1,3,3,4,3,1,3
"Survey1Emerging000019",25,-1,1,5,1,3,1,1,5,1,3,5,1,1,5,5,1,5,1,3,1,1,1,1,1,1,1,5,5,1,5,1,5,5,5,5,1,3,1,5,5,5,1,3,5,3,1,1,1,1,1,5,5,5,1,5,1,1,1,1,1,5
"Survey1Emerging000020",21,-1,3,3,1,2,3,2,2,3,3,2,4,1,3,3,2,3,3,2,2,3,4,2,2,2,2,4,2,2,2,4,4,4,3,2,4,4,3,3,3,3,2,3,4,3,2,4,1,3,1,2,5,2,2,1,1,1,3,1,3,1
"Survey1Emerging000021",21,1,4,4,4,5,4,3,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,5,3,4,4,4,4,4,4,5,3,4,4,4,4,4,3,2,3,4,4,4,4,4,4,4,4
"Survey1Emerging000022",21,-1,2,2,4,3,2,2,4,3,4,5,2,4,5,4,4,4,4,2,4,5,4,4,5,2,1,3,1,4,3,5,4,3,2,4,5,2,4,3,5,5,2,5,5,5,5,3,5,4,3,2,1,4,4,4,4,3,2,4,3,1
"Survey1Emerging000023",20,1,5,5,1,2,1,2,5,5,2,5,2,2,5,3,5,4,1,5,4,5,5,1,1,1,1,4,5,1,2,1,5,5,5,5,5,4,1,5,5,5,4,4,5,2,2,2,2,1,5,1,4,5,5,5,1,5,4,2,5,5
"Survey1Emerging000024",23,1,2,4,3,4,4,2,5,4,3,4,2,2,4,4,4,5,4,4,4,4,2,2,2,4,4,4,4,4,4,4,5,4,4,2,5,4,2,4,3,4,4,4,4,4,2,2,2,2,3,4,4,4,5,2,4,4,4,4,4,4
"Survey1Emerging000025",25,1,4,4,5,4,5,1,5,3,4,5,1,3,5,4,4,5,4,5,4,4,2,1,3,4,3,2,4,1,4,2,5,5,5,5,5,4,1,5,1,4,3,2,5,5,1,4,3,1,2,2,4,5,5,1,4,5,5,4,4,3
"Survey1Emerging000026",21,1,4,4,4,5,1,4,5,2,5,5,4,4,5,3,2,2,4,2,4,5,4,1,4,4,1,1,4,3,5,4,2,5,2,5,5,3,4,4,2,5,4,5,5,4,2,3,4,2,4,5,3,5,3,3,2,2,3,3,4,2
"Survey1Emerging000027",19,1,4,5,2,2,2,5,5,3,5,5,1,2,4,5,5,3,5,5,5,5,4,1,2,4,1,4,5,2,2,2,4,4,5,4,5,4,2,5,4,5,5,4,5,4,1,4,1,1,2,1,3,5,5,4,2,5,2,4,5,4
"Survey1Emerging000028",18,1,4,3,4,2,5,5,5,5,3,5,2,3,3,4,3,3,4,3,5,3,1,3,3,3,3,3,5,5,3,3,3,3,2,3,5,3,3,3,3,4,4,4,3,2,4,4,3,5,1,3,3,3,3,1,5,3,3,3,3,4
"Survey1Emerging000029",22,1,2,5,1,4,3,1,5,1,4,4,3,3,4,3,3,5,5,4,4,4,2,2,1,4,2,3,5,2,4,2,5,4,5,3,3,3,1,5,4,3,3,3,5,4,2,2,1,1,2,2,5,5,5,3,3,3,4,1,2,3
"Survey1Emerging000030",24,1,1,5,5,2,4,5,5,4,3,5,3,5,3,5,4,5,5,5,5,5,1,4,5,1,5,1,1,5,1,3,5,3,4,5,5,5,4,3,5,5,3,5,3,3,1,3,5,1,3,3,5,4,3,5,3,4,1,5,5,5
"Survey1Emerging000031",25,1,2,5,1,4,3,4,4,3,4,4,1,3,5,2,5,5,5,4,4,3,4,1,2,4,4,4,3,1,4,2,5,4,4,4,4,2,4,4,2,5,2,5,5,4,3,2,1,1,2,5,5,5,4,2,2,5,5,1,3,4
"Survey1Emerging000032",24,1,4,4,1,4,3,3,5,1,5,4,3,3,4,1,4,3,2,5,3,4,4,2,2,4,3,2,4,1,4,1,3,4,5,2,4,2,1,4,1,4,4,4,4,4,2,3,1,1,3,1,3,4,5,1,2,4,4,1,2,4
"Survey1Emerging000033",24,-1,4,5,4,3,1,3,4,4,4,4,3,3,3,1,3,4,3,3,4,5,3,1,3,4,1,3,4,4,5,3,4,3,2,2,4,3,4,4,1,4,4,3,4,4,3,4,3,3,3,1,3,4,3,3,1,4,4,4,2,3
"Survey1Emerging000034",18,1,1,4,4,4,2,3,4,2,4,5,2,3,5,2,4,5,2,1,2,4,2,1,2,4,3,3,5,4,5,1,4,5,1,2,4,2,3,5,2,4,4,4,5,4,1,1,4,2,4,4,4,4,5,2,2,4,3,4,2,4
"Survey1Emerging000035",21,1,4,5,1,1,1,4,5,1,4,4,2,1,5,4,4,2,1,5,5,5,5,1,4,3,1,3,4,1,2,2,5,1,4,5,5,3,1,4,4,5,4,1,5,2,1,5,1,1,1,2,2,5,5,4,1,4,5,1,4,4
"Survey1Emerging000036",23,1,3,3,4,2,1,2,3,4,2,5,2,4,2,3,4,2,4,4,5,5,1,4,5,1,1,4,1,5,2,1,4,2,3,5,5,5,4,2,5,5,2,3,2,2,1,5,4,4,1,3,5,2,1,5,1,3,3,4,4,4
"Survey1Emerging000037",20,1,1,4,4,1,4,4,2,5,1,4,2,4,2,5,2,3,5,4,5,4,2,4,5,1,4,5,4,5,1,5,5,2,1,5,4,5,5,2,5,2,1,5,2,1,4,4,2,2,1,1,5,2,4,5,2,2,4,5,5,1
"Survey1Emerging000038",19,-1,5,4,2,5,2,2,4,2,4,3,5,3,4,2,5,1,4,4,3,2,5,4,3,4,2,1,2,5,2,4,4,2,5,4,3,5,1,2,3,1,2,2,1,3,4,3,4,3,3,3,5,2,1,3,4,1,5,3,3,3
"Survey1Emerging000039",22,1,2,4,2,3,3,4,4,4,4,5,4,3,3,4,5,4,4,4,4,4,5,4,3,5,5,4,4,3,5,4,3,4,4,4,5,3,4,5,4,4,4,4,4,4,5,4,5,5,3,2,5,4,4,3,4,3,5,5,4,3
"Survey1Emerging000040",24,1,1,4,4,2,1,1,4,4,1,4,4,4,3,4,4,5,2,2,4,5,1,1,4,1,4,4,2,4,2,2,5,4,2,5,4,3,2,2,5,4,1,3,3,4,4,2,2,2,1,2,4,4,2,5,2,2,1,4,2,4
"Survey1Emerging000041",21,1,5,4,5,5,5,5,5,3,4,5,4,4,3,4,3,4,3,3,3,5,4,4,4,5,3,4,4,5,4,4,4,4,4,3,4,2,5,4,5,3,5,4,3,3,3,2,3,4,3,5,4,3,4,5,5,4,4,3,5,5
"Survey1Emerging000042",23,1,2,5,3,2,5,5,5,5,5,5,5,5,4,5,2,5,1,5,5,5,4,3,3,4,1,2,5,4,2,5,5,3,5,5,5,5,5,3,2,5,3,5,3,5,4,3,3,1,5,1,4,5,5,5,5,4,3,5,5,5
"Survey1Emerging000043",20,1,5,2,1,2,1,2,5,1,3,1,1,4,2,4,5,3,4,5,4,4,3,2,1,3,1,1,3,1,2,2,1,3,3,3,3,5,1,4,4,2,4,1,3,4,1,4,2,3,1,1,3,1,4,1,1,5,5,1,1,5
"Survey1Emerging000044",25,1,2,4,4,4,2,1,4,4,2,5,2,4,5,5,2,5,2,2,4,4,2,4,5,1,2,4,2,4,1,2,5,4,3,4,4,4,4,2,4,3,4,4,5,1,1,2,4,2,2,1,4,4,4,4,2,2,2,4,4,4
"Survey1Emerging000045",25,1,3,3,3,4,2,3,3,1,5,3,1,4,4,3,4,3,3,1,3,5,5,4,1,1,3,3,3,2,2,1,5,3,5,5,4,3,1,5,3,1,1,5,5,3,3,4,1,1,3,4,5,4,4,4,4,3,3,3,4,2
"Survey1Emerging000046",25,1,3,5,2,3,2,4,3,3,4,5,2,4,4,4,5,2,4,5,4,4,3,3,1,4,1,4,5,2,3,1,4,4,5,4,4,2,4,5,4,5,4,4,5,4,2,4,2,1,3,2,2,4,5,3,3,3,4,3,4,4
"Survey1Emerging000047",25,1,3,2,4,3,2,5,3,1,4,5,3,4,4,4,3,3,5,5,2,5,4,4,2,3,4,4,3,2,3,1,3,3,5,2,2,2,1,5,2,3,5,4,4,3,4,3,1,2,4,5,4,5,3,3,2,2,4,3,1,2
"Survey1Emerging000048",20,-1,5,4,4,4,4,4,4,4,4,3,4,4,5,4,4,3,4,3,2,4,4,4,3,3,4,5,4,4,4,4,2,4,4,4,4,3,4,3,4,4,4,4,4,4,1,4,4,2,4,2,3,4,2,2,4,4,4,4,4,4
"Survey1Emerging000049",20,1,3,4,3,3,4,4,5,3,3,4,3,3,3,4,3,5,4,4,3,4,4,1,3,4,3,3,3,3,4,4,5,4,4,4,5,3,2,3,1,3,4,3,5,5,4,5,1,3,2,3,3,4,3,1,4,4,3,1,3,4
"Survey1Emerging000050",24,1,4,5,4,4,5,3,5,5,5,5,4,2,4,3,4,4,5,4,5,5,4,4,1,4,1,2,2,4,4,5,5,5,4,5,4,1,1,4,4,5,2,3,5,5,1,2,1,1,5,4,4,4,5,5,1,3,2,3,4,4
"Survey1Emerging000051",25,-1,3,4,4,4,1,4,5,4,3,4,1,4,3,4,5,3,5,4,4,5,4,1,1,4,2,4,5,3,3,1,4,4,4,5,4,1,4,4,5,5,4,4,3,3,1,3,4,2,2,1,3,5,4,5,2,4,2,2,3,4
"Survey1Emerging000052",23,1,4,4,2,2,2,3,5,3,3,4,2,3,4,4,4,3,5,5,3,5,2,1,2,2,2,4,4,4,2,2,4,4,4,4,4,2,1,4,3,4,3,3,4,3,2,4,1,2,2,2,4,5,4,3,2,3,4,3,4,3
"Survey1Emerging000053",23,1,3,3,3,5,3,2,4,1,3,3,3,4,3,4,3,3,3,3,3,1,3,3,1,1,3,1,3,1,1,4,1,3,3,1,5,3,2,3,1,1,5,3,3,3,1,3,3,1,1,1,3,3,4,3,3,3,4,1,3,3
"Survey1Emerging000054",20,1,2,4,4,2,2,2,4,5,2,4,4,2,3,4,4,5,2,4,4,5,2,4,2,1,1,4,4,4,2,2,3,4,3,5,5,4,2,3,5,5,1,4,4,2,2,2,2,2,2,2,4,4,2,5,1,2,2,4,5,4
"Survey1Emerging000055",22,1,4,5,2,1,2,2,4,2,4,4,2,2,4,4,4,4,4,4,4,4,2,2,4,2,2,4,4,4,2,1,4,4,4,5,4,4,4,4,4,4,2,2,3,2,2,4,4,2,2,2,4,4,4,4,2,2,5,4,4,4
"Survey1Emerging000056",25,1,5,4,5,5,1,5,5,4,4,5,4,4,5,4,4,2,1,3,4,5,3,3,1,3,3,3,4,3,3,2,3,4,5,5,4,1,2,5,3,3,5,5,5,3,5,4,3,1,1,5,2,4,4,4,1,3,1,4,1,4
"Survey1Emerging000057",23,1,4,5,2,1,5,3,5,2,3,3,3,3,4,4,4,3,5,4,4,5,3,2,3,2,3,3,4,3,2,5,3,4,3,5,5,2,2,4,4,4,3,4,5,4,2,3,2,3,5,1,3,5,4,5,4,4,4,4,3,3
"Survey1Emerging000058",25,1,4,5,4,1,1,4,5,2,3,5,2,4,4,4,4,3,1,2,5,5,4,3,4,2,1,2,5,4,2,1,3,5,3,5,5,3,4,4,5,5,3,3,4,2,1,4,1,3,2,1,2,5,5,5,1,4,4,3,4,4
"Survey1Emerging000059",19,1,2,5,1,4,4,4,5,4,4,5,2,4,5,4,4,5,2,5,4,2,4,4,4,4,5,4,5,4,4,4,5,4,5,5,2,4,2,5,4,5,2,5,5,2,2,4,1,1,2,4,2,5,5,5,4,4,5,1,5,4
"Survey1Emerging000060",24,1,3,5,2,2,4,2,5,3,2,5,4,4,3,4,4,5,5,4,5,5,2,2,5,3,1,5,5,2,2,5,5,5,4,5,5,4,1,3,5,5,2,5,3,3,2,1,2,2,5,1,4,5,2,5,1,3,4,4,5,4
"Survey1Emerging000061",22,1,3,3,3,2,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,3,4,3,5,3,3,2,4,5,4,3,3,3,3,3,3,4,4,3,4,3,3,3,3,2,3,3,3,3,3,4,2,3,3,3,4,3,3,4,3
"Survey1Emerging000062",24,1,4,5,1,4,3,5,5,2,4,4,3,2,5,4,4,4,1,4,3,5,4,1,2,2,1,4,5,4,4,2,4,5,5,4,5,4,3,4,3,4,4,4,4,3,2,4,1,1,3,3,4,5,4,4,3,5,5,2,4,4
"Survey1Emerging000063",21,1,4,5,1,2,3,4,5,4,4,4,2,2,2,4,2,4,5,5,2,4,2,2,1,3,2,4,5,1,2,2,5,5,5,4,4,5,1,5,4,3,2,4,3,2,2,4,1,1,3,2,4,5,5,4,2,4,5,3,5,2
"Survey1Emerging000064",23,-1,3,2,3,5,4,3,4,2,3,3,2,4,4,4,3,4,3,2,4,2,3,4,3,4,2,3,4,2,5,3,4,2,4,3,4,3,4,5,4,3,3,3,5,4,2,1,3,3,2,4,4,4,4,3,3,2,4,3,3,2
"Survey1Emerging000065",21,1,5,5,4,2,3,4,5,5,3,5,1,3,5,5,4,3,1,4,5,3,3,2,4,1,5,4,5,4,1,1,5,5,2,5,4,3,5,5,5,5,1,3,5,2,1,5,5,1,1,3,3,5,5,5,3,3,2,4,5,5
"Survey1Emerging000066",24,-1,1,5,3,5,4,1,5,3,5,5,4,4,5,1,4,5,1,5,2,2,1,1,1,3,2,3,5,3,5,3,5,4,3,2,3,4,2,5,3,4,2,4,5,5,3,1,1,3,4,4,3,5,5,4,4,1,4,4,1,2
"Survey1Emerging000067",24,-1,3,5,2,4,3,4,5,3,4,4,4,4,5,1,2,2,1,4,5,4,4,4,2,4,3,2,4,3,4,1,4,4,2,5,3,3,3,4,4,5,4,1,4,4,1,2,4,4,3,3,2,4,4,4,4,4,4,4,3,5
"Survey1Emerging000068",20,1,2,5,2,4,4,3,4,2,4,4,4,2,4,4,4,4,1,4,4,3,3,2,2,4,2,4,4,4,2,2,5,4,4,2,5,4,4,4,4,3,2,2,4,4,2,1,1,1,2,2,3,4,5,4,3,2,4,4,4,4
"Survey1Emerging000069",20,1,2,4,4,1,3,3,4,5,5,4,3,5,5,5,3,5,1,4,5,5,2,5,5,5,4,5,5,5,1,3,5,5,2,5,5,5,4,2,4,4,4,5,4,2,5,5,5,4,1,2,4,4,3,5,2,5,5,4,5,3
"Survey1Emerging000070",18,1,4,4,1,2,1,3,4,2,2,4,4,2,4,5,4,2,2,5,5,5,5,2,5,4,1,4,4,2,2,1,1,4,4,5,5,1,4,4,5,5,2,2,4,3,2,4,1,2,1,1,1,5,5,5,2,4,4,2,4,4
"Survey1Emerging000071",22,1,5,5,1,5,1,2,5,1,5,5,4,1,5,1,5,2,5,5,1,5,5,1,1,5,1,1,5,1,5,1,1,5,5,4,5,2,1,5,1,5,5,2,5,5,1,4,1,1,5,1,2,5,5,1,1,5,4,1,1,4
"Survey1Emerging000072",22,1,2,2,3,4,4,3,3,4,2,3,2,3,3,3,2,2,3,1,3,3,2,3,2,2,2,3,4,3,2,4,2,3,3,2,3,2,2,3,3,2,1,2,2,4,1,2,2,4,4,2,3,3,1,4,2,2,2,2,2,1
"Survey1Emerging000073",23,1,4,4,3,3,4,2,5,4,4,5,3,4,4,3,3,5,1,4,3,3,2,1,4,5,4,5,4,3,3,4,5,4,3,4,4,2,2,5,5,5,3,3,4,4,4,3,2,2,2,2,5,5,4,5,2,4,4,4,2,2
"Survey1Emerging000074",22,-1,5,5,3,4,5,4,5,3,5,5,1,1,4,4,5,5,1,3,5,5,3,3,2,5,2,1,5,2,4,1,1,5,3,3,5,3,1,5,2,5,4,3,4,5,1,5,1,3,5,1,1,5,5,1,3,5,5,2,1,5
"Survey1Emerging000075",24,1,5,5,1,5,5,5,5,1,5,5,1,1,5,1,5,3,2,5,1,5,5,1,1,5,1,1,5,1,5,1,2,5,5,1,5,3,1,5,1,5,5,2,5,5,1,5,1,1,5,2,2,5,5,1,1,5,4,1,1,5
"Survey1Emerging000076",19,1,3,4,1,1,4,5,5,4,4,5,4,3,4,4,4,5,2,5,4,4,4,4,2,2,2,4,5,3,2,2,4,4,5,5,5,2,3,5,4,5,2,3,5,2,4,4,2,1,2,1,2,5,5,4,3,3,3,1,5,3
"Survey1Emerging000077",24,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,4,1,5,4
"Survey1Emerging000078",23,1,4,4,1,2,1,1,4,4,2,5,2,2,4,4,4,4,1,4,4,5,2,2,4,2,2,1,4,2,4,1,4,4,5,4,5,4,2,4,4,4,4,4,4,2,2,2,1,1,2,1,2,4,4,4,2,4,2,4,4,4
"Survey1Emerging000079",24,1,5,4,2,3,4,4,5,2,4,5,1,2,4,1,3,2,1,4,2,5,4,1,2,4,1,3,4,2,4,4,4,4,4,3,5,2,2,5,1,5,4,2,5,4,1,4,1,1,2,1,2,5,5,1,2,5,4,3,3,4
"Survey1Emerging000080",19,1,5,4,4,3,3,5,5,2,4,5,3,4,4,3,4,4,5,4,4,4,5,4,4,4,4,2,2,4,3,4,4,4,3,5,3,4,4,5,5,4,3,4,5,4,4,5,3,3,4,2,3,5,3,5,4,3,3,4,4,4
"Survey1Emerging000081",21,1,2,4,2,2,2,4,4,2,2,4,2,2,5,2,4,4,5,4,4,4,3,1,2,5,2,2,5,2,2,2,4,5,4,5,4,4,1,4,2,2,3,2,5,2,2,2,1,2,2,2,2,4,5,3,3,3,4,1,4,4
"Survey1Emerging000082",20,1,5,5,1,3,1,5,5,2,5,5,1,2,5,4,4,3,5,5,4,5,2,4,4,5,1,2,5,2,4,2,4,5,4,5,5,2,1,5,2,5,4,4,5,3,4,5,1,1,3,2,3,5,5,2,2,5,3,2,4,5
"Survey1Emerging000083",19,1,2,5,2,3,2,3,5,2,2,5,1,2,3,4,4,4,5,5,4,4,5,1,2,2,1,1,5,4,2,2,4,5,4,5,5,2,1,5,4,5,2,2,2,1,2,3,4,1,1,1,1,5,5,4,1,3,4,4,5,4
"Survey1Emerging000084",22,1,4,5,1,5,3,4,5,2,4,4,1,4,5,2,4,3,1,4,3,4,5,2,2,3,1,2,5,2,3,1,3,5,4,4,4,2,2,5,4,5,4,4,5,5,1,4,3,2,4,1,1,5,5,4,2,3,1,2,3,4
"Survey1Emerging000085",25,-1,3,4,3,3,4,3,5,3,3,3,3,3,3,2,2,4,4,4,3,2,3,2,2,4,3,3,4,4,3,4,4,3,3,3,3,3,3,3,3,2,2,4,4,4,4,2,4,2,3,4,4,5,3,2,4,2,2,2,3,3
"Survey1Emerging000086",21,1,5,5,4,1,1,5,5,2,4,5,2,2,4,5,5,2,1,5,4,5,5,2,2,5,1,2,5,1,1,1,2,4,4,5,5,1,4,5,5,5,4,4,2,2,1,5,1,4,1,1,2,5,4,4,1,4,5,4,5,4
"Survey1Emerging000087",23,1,3,5,2,2,1,2,5,4,2,5,1,1,5,4,5,4,5,4,4,5,4,1,4,1,4,2,4,3,3,1,5,5,4,5,5,3,1,5,4,4,3,5,5,2,2,2,1,1,2,1,2,5,5,5,4,4,3,1,4,4
"Survey1Emerging000088",19,1,5,5,1,4,2,3,5,2,4,5,1,2,5,3,4,4,2,4,2,4,4,1,2,4,2,4,5,2,4,2,2,4,4,2,5,3,2,5,2,4,4,4,5,4,1,3,1,1,2,2,2,5,5,1,2,5,2,3,2,4
"Survey1Emerging000089",25,1,3,4,4,2,3,3,4,3,3,4,2,3,4,3,3,3,4,3,4,2,5,3,3,3,3,3,1,4,3,3,4,4,2,4,3,2,4,4,2,4,3,4,3,2,2,4,4,4,2,5,3,4,4,3,2,4,2,2,3,4
"Survey1Emerging000090",19,1,4,4,2,3,3,3,4,3,3,4,3,3,3,3,4,3,3,3,3,3,4,3,2,3,4,3,4,3,3,3,3,3,4,3,3,3,3,4,3,4,3,3,4,3,2,3,3,2,3,3,2,4,4,3,3,3,4,3,3,3
"Survey1Emerging000091",24,-1,5,5,5,5,3,3,5,1,4,5,4,1,5,5,4,5,5,5,5,5,3,1,1,5,1,5,1,5,1,1,5,5,5,5,1,5,1,5,5,5,1,3,5,1,1,5,1,1,4,1,1,5,5,5,1,5,5,4,4,5
"Survey1Emerging000092",25,1,4,5,2,2,2,4,3,2,4,4,2,5,4,4,4,4,1,5,4,5,3,4,2,2,5,3,5,5,3,2,4,5,4,4,5,3,4,5,2,5,3,4,4,2,2,5,1,1,2,1,2,4,4,3,2,4,4,2,4,4
"Survey1Emerging000093",24,1,4,5,4,2,4,2,5,4,5,5,1,2,2,5,5,5,5,5,4,4,5,1,5,5,1,2,5,4,3,4,5,5,3,5,4,2,1,5,5,4,4,5,5,2,4,2,2,1,2,4,2,5,5,5,4,5,5,4,5,5
"Survey1Emerging000094",23,1,2,5,2,4,4,2,5,2,2,5,4,2,5,2,4,4,5,5,4,4,2,1,4,4,2,2,5,2,4,4,4,5,5,2,4,4,1,5,2,4,2,2,5,4,2,2,1,1,3,4,4,5,5,2,2,2,5,2,2,4
"Survey1Emerging000095",25,1,4,5,4,2,3,2,5,4,2,4,4,4,2,4,2,5,1,2,4,4,1,1,4,2,5,4,5,2,2,4,5,4,1,5,4,4,2,3,5,2,2,4,2,4,3,4,2,1,1,2,5,5,4,5,4,4,4,4,5,2
"Survey1Emerging000096",20,1,4,4,4,3,3,1,5,5,3,5,2,2,3,4,2,5,1,4,3,5,1,2,4,2,3,5,4,4,3,3,5,4,3,5,5,3,2,2,5,5,2,2,4,3,1,2,4,4,2,1,5,5,3,4,3,3,4,3,3,3
"Survey1Emerging000097",24,1,3,5,2,3,1,4,4,3,5,5,2,3,4,3,3,3,1,4,4,5,4,3,4,4,1,3,5,2,2,2,4,5,4,3,5,2,2,4,4,4,3,5,5,3,1,4,3,2,2,1,1,5,4,4,1,4,3,2,5,4
"Survey1Emerging000098",25,1,1,4,1,2,2,3,5,3,2,4,3,4,4,4,2,4,2,5,4,4,3,4,2,2,4,3,3,3,2,4,4,3,5,5,5,4,3,5,4,4,3,4,5,2,3,2,3,1,2,2,4,4,4,4,4,3,2,2,4,2
