"","Sociab.1","Compass.1","Organiz.1","Anxiety.1","Aesth.1","Assert.1","Respect.1","Product.1","Depres.1","Curious.1","Energy.1","Trust.1","Respons.1","Volat.1","Creativ.1","Sociab.2","Compass.2","Organiz.2","Anxiety.2","Aesth.2","Assert.2","Respect.2","Product.2","Depres.2","Curious.2","Energy.2","Trust.2","Respons.2","Volat.2","Creativ.2","Sociab.3","Compass.3","Organiz.3","Anxiety.3","Aesth.3","Assert.3","Respect.3","Product.3","Depres.3","Curious.3","Energy.3","Trust.3","Respons.3","Volat.3","Creativ.3","Sociab.4","Compass.4","Organiz.4","Anxiety.4","Aesth.4","Assert.4","Respect.4","Product.4","Depres.4","Curious.4","Energy.4","Trust.4","Respons.4","Volat.4","Creativ.4"
"11",4,3,5,2,5,4,5,4,1,4,5,2,5,2,4,2,5,4,4,5,4,4,4,2,5,5,4,4,2,4,1,4,5,2,5,2,2,5,2,4,4,5,4,1,5,3,2,5,4,5,4,4,4,1,5,4,5,2,2,2
"12",4,4,5,4,2,5,5,5,2,4,4,4,5,4,4,1,5,5,4,3,5,4,5,2,5,4,2,5,3,2,2,4,4,5,4,5,4,5,3,5,2,2,4,4,5,2,2,4,2,5,4,5,5,3,3,2,4,5,4,2
"13",1,5,2,4,3,3,3,2,4,5,2,4,3,4,3,3,3,3,4,4,3,2,2,4,4,2,2,2,5,4,1,4,2,4,4,3,4,2,5,4,2,2,4,4,4,2,4,1,4,5,2,3,4,4,3,2,2,3,5,4
"14",3,2,3,3,2,5,4,4,2,3,2,3,4,4,4,3,2,4,3,3,4,4,3,4,3,3,5,4,2,2,2,4,4,2,5,2,2,2,3,2,2,3,5,2,4,2,3,4,2,2,4,3,5,2,3,4,3,4,3,3
"15",5,4,3,3,4,3,3,1,4,4,4,1,2,4,5,5,5,4,4,4,5,4,2,4,3,3,4,2,3,5,4,1,3,4,5,4,2,4,4,4,4,4,2,3,2,5,5,5,2,4,3,4,3,4,4,5,5,3,2,4
"16",1,5,1,1,1,5,5,1,1,5,1,5,5,5,5,1,1,5,5,5,5,5,1,1,1,1,5,1,2,1,1,5,5,5,5,1,5,1,5,4,5,1,5,2,1,5,5,5,1,5,1,5,5,5,1,5,5,5,5,4
"17",3,4,1,2,1,5,4,2,1,4,1,1,3,4,5,4,2,4,5,4,2,1,1,2,3,3,4,2,3,2,1,4,5,5,4,2,2,4,4,5,5,3,4,2,3,4,2,3,2,1,1,5,4,4,1,4,4,1,5,4
"18",4,5,5,3,3,3,5,5,2,3,5,5,5,1,4,3,2,5,3,4,3,5,4,1,3,5,4,5,2,2,3,5,5,1,5,3,5,5,2,4,4,3,5,1,4,3,5,5,1,3,3,5,5,1,3,3,4,3,1,3
"19",1,5,5,3,5,1,5,5,3,5,5,5,5,5,1,1,5,3,1,1,1,5,5,5,5,1,5,5,1,5,1,5,5,5,1,3,5,5,5,5,1,3,5,3,5,1,5,5,5,1,1,5,1,5,5,1,1,5,1,5
"20",3,3,5,4,3,2,2,3,3,2,2,5,3,3,2,3,3,2,2,3,4,4,4,4,4,2,2,4,4,2,2,4,3,2,4,2,3,3,3,3,2,3,4,3,4,4,5,3,5,4,1,2,2,1,5,1,3,5,3,1
"21",4,4,2,1,2,3,4,2,2,4,2,3,4,4,4,2,1,4,4,4,4,2,2,2,3,2,4,2,2,2,2,3,4,4,5,3,2,4,4,4,4,2,5,3,2,4,2,2,2,3,4,3,4,4,2,4,4,2,4,4
"22",2,2,2,3,4,2,4,3,2,5,4,2,5,4,4,2,2,2,4,5,4,2,1,4,5,3,1,2,3,1,2,3,2,4,5,4,2,3,5,5,2,1,5,1,1,3,1,2,3,4,5,4,4,4,2,3,2,2,3,1
"23",5,5,5,4,5,2,5,1,4,5,4,4,5,3,5,2,5,5,4,5,5,5,5,5,5,2,5,5,4,5,1,5,5,5,5,2,5,5,5,5,4,2,5,4,4,2,4,5,1,5,2,5,5,5,5,5,4,4,5,5
"24",2,4,3,2,2,2,5,2,3,4,4,4,4,4,4,1,2,4,4,4,2,4,4,2,2,2,4,2,2,2,1,4,4,2,5,2,4,4,3,4,4,2,4,2,4,2,4,4,3,2,2,4,5,2,2,4,4,2,4,4
"25",4,4,1,2,1,1,5,3,2,5,5,3,5,4,4,1,2,5,4,4,2,5,3,2,3,4,4,5,2,4,1,5,5,5,5,2,5,5,1,4,3,4,5,1,5,4,3,5,4,4,2,5,5,1,2,5,5,2,4,3
"26",4,4,2,1,5,4,5,4,1,5,2,2,5,3,2,4,2,2,4,5,4,5,2,2,5,5,4,3,1,2,4,5,2,5,5,3,2,4,2,5,4,1,5,2,4,3,2,4,2,1,3,5,3,3,4,2,3,3,4,2
"27",4,5,4,4,4,5,5,3,1,5,5,4,4,5,5,3,1,5,5,5,4,5,4,2,5,2,5,4,4,4,2,4,5,4,5,2,4,5,4,5,5,2,5,2,5,4,5,5,4,5,3,5,5,4,4,5,2,2,5,4
"28",4,3,2,4,1,5,5,1,3,5,4,3,3,4,3,3,2,3,5,3,1,3,3,3,3,3,5,1,3,3,3,3,2,3,5,3,3,3,3,4,4,2,3,4,2,4,3,1,5,3,3,3,3,1,1,3,3,3,3,4
"29",2,5,5,2,3,1,5,5,2,4,3,3,4,3,3,1,1,4,4,4,2,4,5,2,4,3,5,4,2,4,1,4,5,3,3,3,5,5,4,3,3,3,5,2,4,2,5,5,4,4,1,5,5,3,3,3,4,5,2,3
"30",1,5,1,4,2,5,5,2,3,5,3,1,3,5,4,1,1,5,5,5,1,2,1,5,1,5,1,1,5,3,1,3,4,5,5,1,2,3,5,5,3,1,3,3,5,3,1,5,3,3,1,4,3,5,3,4,1,1,5,5
"31",2,5,5,2,3,4,4,3,2,4,5,3,5,2,5,1,1,4,4,3,4,5,4,2,2,2,3,5,2,4,1,4,4,4,4,4,2,4,2,5,2,1,5,2,3,2,5,5,4,1,1,5,4,2,4,5,5,5,3,4
"32",4,4,5,2,3,3,5,5,1,4,3,3,4,1,4,3,4,5,3,4,4,4,4,2,3,4,4,5,2,5,3,4,5,2,4,4,5,4,1,4,4,2,4,2,4,3,5,5,3,5,3,4,5,1,4,4,4,5,2,4
"33",4,5,2,3,5,3,4,2,2,4,3,3,3,1,3,2,3,3,4,5,3,5,3,2,5,3,4,2,1,3,2,3,2,2,4,3,2,4,1,4,4,3,4,2,3,4,3,3,3,5,3,4,3,3,5,4,4,2,2,3
"34",1,4,2,2,4,3,4,4,2,5,4,3,5,2,4,1,4,1,2,4,2,5,4,2,3,3,5,2,1,5,2,5,1,2,4,4,3,5,2,4,4,2,5,2,5,1,2,4,2,2,2,4,5,2,4,4,3,2,2,4
"35",4,5,5,5,5,4,5,5,2,4,4,5,5,4,4,4,5,5,5,5,5,5,2,3,5,3,4,5,4,4,1,1,4,5,5,3,5,4,4,5,4,5,5,4,5,5,5,5,5,4,4,5,5,4,5,4,5,5,4,4
"36",3,3,2,4,5,2,3,2,4,5,4,2,2,3,4,4,2,4,5,5,1,2,1,5,5,2,1,1,4,5,2,2,3,5,5,1,2,2,5,5,2,3,2,4,5,5,2,2,5,3,1,2,1,5,5,3,3,2,4,4
"37",1,4,2,5,2,4,2,1,5,4,4,2,2,5,2,3,1,4,5,4,2,2,1,5,2,1,4,1,5,1,1,2,1,5,4,1,1,2,5,2,1,1,2,5,2,4,4,4,5,5,1,2,4,5,4,2,4,1,5,1
"38",5,4,4,1,4,2,4,4,2,3,1,3,4,2,5,5,2,4,3,2,5,2,3,2,4,5,2,1,4,2,2,2,5,4,3,1,5,2,3,1,2,4,1,3,2,3,2,3,3,3,1,2,1,3,2,1,5,3,3,3
"39",2,4,4,3,3,4,4,2,2,5,2,3,3,4,5,2,2,4,4,4,5,2,3,1,1,2,4,3,1,2,3,4,4,4,5,3,2,5,4,4,4,2,4,2,1,4,1,1,3,4,1,4,4,3,2,3,5,1,4,3
"40",1,4,2,4,5,1,4,2,5,4,2,2,3,4,4,1,4,2,4,5,1,5,2,5,2,2,2,2,4,4,1,4,2,5,4,3,4,2,5,4,1,3,3,2,2,2,4,4,5,4,2,4,2,5,4,2,1,2,2,4
"41",5,4,1,1,1,5,5,3,2,5,2,2,3,4,3,2,3,3,3,5,4,2,2,1,3,2,4,1,2,2,2,4,4,3,4,4,1,4,5,3,5,2,3,3,3,2,3,2,3,1,2,3,4,5,1,4,4,3,5,5
"42",2,5,3,4,1,5,5,1,1,5,1,1,4,5,2,1,5,5,5,5,4,3,3,2,5,4,5,2,4,1,1,3,5,5,5,1,1,3,2,5,3,1,3,1,2,3,3,5,1,5,2,5,5,5,1,4,3,1,5,5
"43",5,2,5,4,5,2,5,5,3,1,5,2,2,4,5,3,2,5,4,4,3,4,5,3,5,5,3,5,4,4,5,3,3,3,3,1,5,4,4,2,4,5,3,2,5,4,4,3,5,5,3,1,4,1,5,5,5,5,1,5
"44",2,4,2,2,4,1,4,2,4,5,4,2,5,5,2,1,4,2,4,4,2,2,1,5,4,2,2,2,5,4,1,4,3,4,4,2,2,2,4,3,4,2,5,5,5,2,2,4,4,5,2,4,4,4,4,2,2,2,4,4
"45",3,3,3,2,4,3,3,5,1,3,5,2,4,3,4,3,3,1,3,5,5,2,5,5,3,3,3,4,4,5,1,3,5,5,4,3,5,5,3,1,1,1,5,3,3,4,5,5,3,2,1,4,4,4,2,3,3,3,4,2
"46",3,5,4,3,4,4,3,3,2,5,4,2,4,4,5,4,2,5,4,4,3,3,5,2,5,2,5,4,3,5,2,4,5,4,4,4,2,5,4,5,4,2,5,2,4,4,4,5,3,4,4,4,5,3,3,3,4,3,4,4
"47",3,2,2,3,4,5,3,5,2,5,3,2,4,4,3,3,1,5,2,5,4,2,4,3,2,2,3,4,3,5,3,3,5,2,2,4,5,5,2,3,5,2,4,3,2,3,5,4,2,1,2,5,3,3,4,2,4,3,1,2
"48",5,4,2,2,2,4,4,2,2,3,2,2,5,4,4,3,2,3,2,4,4,2,3,3,2,1,4,2,2,2,4,4,4,4,4,3,2,3,4,4,4,2,4,2,5,4,2,4,2,4,3,4,2,2,2,4,4,2,4,4
"49",3,4,3,3,2,4,5,3,3,4,3,3,3,4,3,1,2,4,3,4,4,5,3,2,3,3,3,3,2,2,1,4,4,4,5,3,4,3,1,3,4,3,5,1,2,5,5,3,4,3,3,4,3,1,2,4,3,5,3,4
"50",4,5,2,2,1,3,5,1,1,5,2,4,4,3,4,2,1,4,5,5,4,2,5,2,5,4,2,2,2,1,1,5,4,5,4,5,5,4,4,5,2,3,5,1,5,2,5,5,1,2,2,4,5,5,5,3,2,3,4,4
"51",3,4,2,2,5,4,5,2,3,4,5,2,3,4,5,3,1,4,4,5,4,5,5,2,4,2,5,3,3,5,2,4,4,5,4,5,2,4,5,5,4,2,3,3,5,3,2,4,4,5,3,5,4,5,4,4,2,4,3,4
"52",4,4,4,4,4,3,5,3,3,4,4,3,4,4,4,3,1,5,3,5,2,5,4,4,4,2,4,2,4,4,2,4,4,4,4,4,5,4,3,4,3,3,4,3,4,4,5,4,4,4,2,5,4,3,4,3,4,3,4,3
"53",3,3,3,1,3,2,4,5,3,3,3,2,3,4,3,3,3,3,3,1,3,3,5,5,3,5,3,5,5,2,5,3,3,1,5,3,4,3,1,1,5,3,3,3,5,3,3,5,5,5,3,3,4,3,3,3,4,5,3,3
"54",2,4,2,4,4,2,4,1,4,4,2,4,3,4,4,1,4,4,4,5,2,2,4,5,5,2,4,2,4,4,3,4,3,5,5,2,4,3,5,5,1,2,4,4,4,2,4,4,4,4,2,4,2,5,5,2,2,2,5,4
"55",4,5,4,5,4,2,4,4,2,4,4,4,4,4,4,2,2,4,4,4,2,4,2,4,4,2,4,2,4,5,2,4,4,5,4,2,2,4,4,4,2,4,3,4,4,4,2,4,4,4,2,4,4,4,4,2,5,2,4,4
"56",5,4,1,1,5,5,5,2,2,5,2,2,5,4,4,4,5,3,4,5,3,3,5,3,3,3,4,3,3,4,3,4,5,5,4,5,4,5,3,3,5,1,5,3,1,4,3,5,5,1,4,4,4,4,5,3,1,2,1,4
"57",4,5,4,5,1,3,5,4,3,3,3,3,4,4,4,3,1,4,4,5,3,4,3,4,3,3,4,3,4,1,3,4,3,5,5,4,4,4,4,4,3,2,5,2,4,3,4,3,1,5,3,5,4,5,2,4,4,2,3,3
"58",4,5,2,5,5,4,5,4,3,5,4,2,4,4,4,3,5,2,5,5,4,3,2,4,5,4,5,2,4,5,3,5,3,5,5,3,2,4,5,5,3,3,4,4,5,4,5,3,4,5,4,5,5,5,5,4,4,3,4,4
"59",2,5,5,2,2,4,5,2,2,5,4,2,5,4,4,1,4,5,4,2,4,2,2,2,1,2,5,2,2,2,1,4,5,5,2,2,4,5,4,5,2,1,5,4,4,4,5,5,4,2,4,5,5,5,2,4,5,5,5,4
"60",3,5,4,4,2,2,5,3,4,5,2,2,3,4,4,1,1,4,5,5,2,4,1,3,5,1,5,4,4,1,1,5,4,5,5,2,5,3,5,5,2,1,3,3,4,1,4,4,1,5,2,5,2,5,5,3,4,2,5,4
"61",3,3,3,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,3,2,3,1,3,3,2,2,1,2,3,3,3,3,3,3,2,4,3,4,3,3,3,3,4,3,3,3,3,3,2,2,3,3,3,4,3,3,4,3
"62",4,5,5,2,3,5,5,4,2,4,3,4,5,4,4,2,5,4,3,5,4,5,4,4,5,2,5,2,2,4,2,5,5,4,5,2,3,4,3,4,4,2,4,3,4,4,5,5,3,3,2,5,4,4,3,5,5,4,4,4
"63",4,5,5,4,3,4,5,2,2,4,4,4,2,4,2,2,1,5,2,4,2,4,5,3,4,2,5,5,4,4,1,5,5,4,4,1,5,5,4,3,2,2,3,4,4,4,5,5,3,4,2,5,5,4,4,4,5,3,5,2
"64",3,2,3,1,2,3,4,4,3,3,4,2,4,4,3,2,3,2,4,2,3,2,3,2,4,3,4,4,1,3,2,2,4,3,4,3,2,5,4,3,3,3,5,2,4,1,3,3,4,2,2,4,4,3,3,2,4,3,3,2
"65",5,5,2,4,3,4,5,1,3,5,5,3,5,5,4,3,5,4,5,3,3,4,2,5,1,2,5,2,5,5,1,5,2,5,4,3,1,5,5,5,1,3,5,4,5,5,1,5,5,3,3,5,5,5,3,3,2,2,5,5
"66",1,5,3,1,2,1,5,3,1,5,2,2,5,1,4,1,5,5,2,2,1,5,5,3,4,3,5,3,1,3,1,4,3,2,3,2,4,5,3,4,2,2,5,1,3,1,5,3,2,2,3,5,5,4,2,1,4,2,1,2
"67",3,5,4,2,3,4,5,3,2,4,2,2,5,1,2,4,5,4,5,4,4,2,4,2,3,4,4,3,2,5,2,4,2,5,3,3,3,4,4,5,4,5,4,2,5,2,2,2,3,3,4,4,4,4,2,4,4,2,3,5
"68",2,5,4,2,2,3,4,4,2,4,2,4,4,4,4,2,5,4,4,3,3,4,4,2,4,2,4,2,4,4,1,4,4,2,5,2,2,4,4,3,2,4,4,2,4,1,5,5,4,4,3,4,5,4,3,2,4,2,4,4
"69",2,4,2,5,3,3,4,1,1,4,3,1,5,5,3,1,5,4,5,5,2,1,1,1,2,1,5,1,5,3,1,5,2,5,5,1,2,2,4,4,4,1,4,4,1,5,1,2,5,4,2,4,3,5,4,5,5,2,5,3
"70",4,4,5,4,5,3,4,4,4,4,2,4,4,5,4,4,4,5,5,5,5,4,1,2,5,2,4,4,4,5,5,4,4,5,5,5,2,4,5,5,2,4,4,3,4,4,5,4,5,5,5,5,5,5,4,4,4,4,4,4
"71",5,5,5,1,5,2,5,5,1,5,2,5,5,1,5,4,1,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,4,5,4,5,5,1,5,5,4,5,1,5,4,5,5,1,5,4,5,5,1,5,5,4,5,1,4
"72",2,2,3,2,2,3,3,2,4,3,4,3,3,3,2,4,3,1,3,3,2,3,4,4,4,3,4,3,4,2,4,3,3,2,3,4,4,3,3,2,1,4,2,2,5,2,4,2,2,4,3,3,1,4,4,2,2,4,2,1
"73",4,4,3,3,2,2,5,2,2,5,3,2,4,3,3,1,5,4,3,3,2,5,2,1,2,1,4,3,3,2,1,4,3,4,4,4,4,5,5,5,3,3,4,2,2,3,4,4,4,4,1,5,4,5,4,4,4,2,2,2
"74",5,5,3,2,1,4,5,3,1,5,5,5,4,4,5,1,5,3,5,5,3,3,4,1,4,5,5,4,2,5,5,5,3,3,5,3,5,5,2,5,4,3,4,1,5,5,5,3,1,5,5,5,5,1,3,5,5,4,1,5
"75",5,5,5,1,1,5,5,5,1,5,5,5,5,1,5,3,4,5,1,5,5,5,5,1,5,5,5,5,1,5,4,5,5,1,5,3,5,5,1,5,5,4,5,1,5,5,5,5,1,4,4,5,5,1,5,5,4,5,1,5
"76",3,4,5,5,2,5,5,2,2,5,2,3,4,4,4,1,4,5,4,4,4,2,4,4,4,2,5,3,4,4,2,4,5,5,5,4,3,5,4,5,2,3,5,4,2,4,4,5,4,5,4,5,5,4,3,3,3,5,5,3
"77",5,5,1,1,1,5,5,1,1,5,1,2,5,5,5,1,2,5,5,5,5,1,1,1,2,1,5,1,1,1,1,5,5,5,5,1,1,5,4,5,5,1,5,1,2,5,1,1,1,2,1,5,5,5,2,5,4,5,5,4
"78",4,4,5,4,5,1,4,2,4,5,4,4,4,4,4,2,5,4,4,5,2,4,2,4,4,5,4,4,2,5,2,4,5,4,5,2,4,4,4,4,4,2,4,4,4,2,5,5,4,5,4,4,4,4,4,4,2,2,4,4
"79",5,4,4,3,2,4,5,4,2,5,5,4,4,1,3,4,5,4,2,5,4,5,4,2,5,3,4,4,2,2,2,4,4,3,5,4,4,5,1,5,4,4,5,2,5,4,5,5,4,5,4,5,5,1,4,5,4,3,3,4
"80",5,4,2,3,3,5,5,4,2,5,3,2,4,3,4,2,1,4,4,4,5,2,2,2,2,4,2,2,3,2,2,4,3,5,3,2,2,5,5,4,3,2,5,2,2,5,3,3,2,4,3,5,3,5,2,3,3,2,4,4
"81",2,4,4,4,4,4,4,4,4,4,4,4,5,2,4,2,1,4,4,4,3,5,4,1,4,4,5,4,4,4,2,5,4,5,4,2,5,4,2,2,3,4,5,4,4,2,5,4,4,4,4,4,5,3,3,3,4,5,4,4
"82",5,5,5,3,5,5,5,4,1,5,5,4,5,4,4,3,1,5,4,5,2,2,2,1,5,4,5,4,2,4,2,5,4,5,5,4,5,5,2,5,4,2,5,3,2,5,5,5,3,4,3,5,5,2,4,5,3,4,4,5
"83",2,5,4,3,4,3,5,4,4,5,5,4,3,4,4,2,1,5,4,4,5,5,4,4,5,5,5,2,4,4,2,5,4,5,5,4,5,5,4,5,2,4,2,5,4,3,2,5,5,5,5,5,5,4,5,3,4,2,5,4
"84",4,5,5,1,3,4,5,4,2,4,5,2,5,2,4,3,5,4,3,4,5,4,4,3,5,4,5,4,3,5,3,5,4,4,4,4,4,5,4,5,4,2,5,1,5,4,3,4,2,5,5,5,5,4,4,3,1,4,3,4
"85",3,4,3,3,2,3,5,3,3,3,3,3,3,2,2,2,2,4,3,2,3,4,4,2,3,3,4,2,3,2,2,3,3,3,3,3,3,3,3,2,2,2,4,2,2,2,2,4,3,2,2,5,3,2,2,2,2,4,3,3
"86",5,5,2,5,5,5,5,4,2,5,4,4,4,5,5,4,5,5,4,5,5,4,4,1,5,4,5,5,5,5,4,4,4,5,5,5,2,5,5,5,4,2,2,4,5,5,5,2,5,5,4,5,4,4,5,4,5,2,5,4
"87",3,5,4,4,5,2,5,2,4,5,5,5,5,4,5,2,1,4,4,5,4,5,2,5,2,4,4,3,3,5,1,5,4,5,5,3,5,5,4,4,3,1,5,4,4,2,5,5,4,5,4,5,5,5,2,4,3,5,4,4
"88",5,5,5,2,4,3,5,4,2,5,5,4,5,3,4,2,4,4,2,4,4,5,4,2,4,2,5,4,2,4,4,4,4,2,5,3,4,5,2,4,4,2,5,2,5,3,5,5,4,4,4,5,5,1,4,5,2,3,2,4
"89",3,4,2,4,3,3,4,3,3,4,4,3,4,3,3,3,2,3,4,2,5,3,3,3,3,3,1,2,3,3,2,4,2,4,3,4,2,4,2,4,3,2,3,4,4,4,2,2,4,1,3,4,4,3,4,4,2,4,3,4
"90",4,4,4,3,3,3,4,3,3,4,3,3,3,3,4,3,3,3,3,3,4,3,4,3,2,3,4,3,3,3,3,3,4,3,3,3,3,4,3,4,3,3,4,3,4,3,3,4,3,3,4,4,4,3,3,3,4,3,3,3
"91",5,5,1,1,3,3,5,5,2,5,2,5,5,5,4,1,1,5,5,5,3,5,5,1,5,1,1,1,5,5,1,5,5,5,1,1,5,5,5,5,1,3,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,2,4,5
"92",4,5,4,4,4,4,3,4,2,4,4,1,4,4,4,2,5,5,4,5,3,2,4,4,1,3,5,1,3,4,2,5,4,4,5,3,2,5,2,5,3,2,4,4,4,5,5,5,4,5,4,4,4,3,4,4,4,4,4,4
"93",4,5,2,4,2,2,5,2,1,5,5,4,2,5,5,1,1,5,4,4,5,5,1,1,5,4,5,2,3,2,1,5,3,5,4,4,5,5,5,4,4,1,5,4,2,2,4,5,4,2,4,5,5,5,2,5,5,2,5,5
"94",2,5,4,2,2,2,5,4,4,5,2,4,5,2,4,2,1,5,4,4,2,5,2,2,4,4,5,4,2,2,2,5,5,2,4,2,5,5,2,4,2,4,5,2,4,2,5,5,3,2,2,5,5,2,4,2,5,4,2,4
"95",4,5,2,4,3,2,5,2,4,4,2,2,2,4,2,1,5,2,4,4,1,5,2,4,1,2,5,4,4,2,1,4,1,5,4,2,4,3,5,2,2,2,2,2,3,4,4,5,5,4,1,5,4,5,2,4,4,2,5,2
"96",4,4,2,3,3,1,5,1,3,5,4,4,3,4,2,1,5,4,3,5,1,4,2,4,3,1,4,2,3,3,1,4,3,5,5,3,4,2,5,5,2,4,4,3,5,2,2,2,4,5,1,5,3,4,3,3,4,3,3,3
"97",3,5,4,3,5,4,4,3,1,5,4,3,4,3,3,3,5,4,4,5,4,3,2,2,5,3,5,4,4,4,2,5,4,3,5,4,4,4,4,4,3,1,5,3,5,4,3,4,4,5,5,5,4,4,5,4,3,4,5,4
"98",1,4,5,4,4,3,5,3,4,4,3,2,4,4,2,2,4,5,4,4,3,2,4,4,2,3,3,3,4,2,2,3,5,5,5,2,3,5,4,4,3,2,5,4,3,2,3,5,4,4,2,4,4,4,2,3,2,4,4,2
"99",3,5,2,1,4,2,5,4,2,5,3,4,5,2,4,1,5,4,4,4,2,5,4,1,4,2,5,4,2,4,1,5,4,2,4,4,4,5,2,4,3,4,5,2,2,4,5,4,2,4,2,4,5,2,4,4,5,4,2,4
"100",5,5,5,1,4,5,5,5,1,5,4,3,5,4,5,5,4,5,4,5,5,5,5,2,3,5,5,5,1,2,2,5,4,4,5,5,5,5,4,5,5,1,5,1,5,5,5,5,1,3,5,5,5,1,4,2,5,5,2,5
"101",5,5,4,1,1,4,5,2,1,4,2,3,5,5,5,2,3,5,4,5,5,3,4,1,1,2,4,3,4,4,3,5,5,4,5,4,2,5,5,5,4,1,4,3,4,5,3,4,5,2,4,5,5,4,4,5,3,2,4,5
"102",4,5,3,5,2,3,1,5,2,5,4,5,5,2,3,5,2,5,3,3,4,5,3,2,3,5,3,4,3,3,5,5,5,4,1,3,5,5,3,1,5,3,5,1,3,5,5,5,1,5,4,5,5,2,3,4,3,5,5,5
"103",2,4,4,4,2,3,4,2,2,5,3,2,3,5,4,1,2,5,4,4,4,2,2,3,1,2,5,2,4,2,1,4,5,5,4,2,3,4,4,5,3,1,4,2,3,2,3,5,5,3,2,4,5,5,3,4,4,2,5,4
"104",4,4,5,3,3,5,4,2,4,3,4,2,4,4,3,4,4,5,4,4,5,3,2,4,3,3,1,2,4,4,2,3,5,4,4,4,2,4,4,4,2,2,4,4,4,4,2,4,4,3,4,3,4,4,4,4,2,2,4,3
"105",5,4,5,5,5,5,4,4,4,5,4,5,4,5,4,4,1,5,5,5,4,4,1,3,5,5,3,5,4,5,3,4,5,5,5,5,2,4,4,5,3,2,4,2,5,5,5,5,5,5,4,4,5,4,5,4,2,2,5,4
"106",5,5,1,1,3,4,5,5,1,5,5,5,5,4,5,3,1,5,3,5,5,3,5,1,3,5,3,5,3,5,3,5,5,5,5,4,3,5,3,5,5,3,5,3,5,5,5,5,4,3,5,5,5,3,5,5,5,5,4,5
"107",3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,2,4,3,3,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3,4,2,3,4,3,3,3,3,4,2,3,2,4,3,4,4,3,4,4,4,3,3,4,4,2,3
